epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
87,86.9239,0.7463,0.35371,0.41998,0.36706,0.00779,1.21909,0.99589,1,0.995,0.76774,0.94057,0.94444,0.94152,0.89095,0.89612,0.63577,0.24823,0.22691,0.0122,0,0.0002972,0.0002972,0.0002972
88,87.6994,0.82276,0.52006,0.45166,0.47561,0.0071,1.26647,0.99596,1,0.995,0.76972,0.94062,0.94444,0.93734,0.89689,0.86499,0.60939,0.24569,0.22119,0.01116,0,0.0002774,0.0002774,0.0002774
89,88.5851,0.80408,0.44999,0.47795,0.43152,0.00741,1.47588,0.99592,1,0.995,0.78455,0.94059,0.94444,0.9371,0.90602,0.83305,0.58623,0.24501,0.21431,0.01058,0,0.0002576,0.0002576,0.0002576
90,89.3671,0.74429,0.40974,0.49871,0.37697,0.00729,1.54875,0.99601,1,0.995,0.803,0.94067,0.94444,0.93664,0.91172,0.76438,0.55132,0.24342,0.20119,0.00971,0,0.0002378,0.0002378,0.0002378
91,93.3538,0.57603,0.23684,0.20548,0.2066,0.00691,2.12406,0.99583,1,0.995,0.80382,0.94051,0.94444,0.93603,0.91096,0.76009,0.54379,0.24361,0.20314,0.00966,0,0.000218,0.000218,0.000218
92,94.6834,0.57441,0.21726,0.20641,0.22092,0.00761,1.94115,0.99559,1,0.995,0.80293,0.94028,0.94444,0.93125,0.90664,0.72677,0.54126,0.24163,0.20196,0.00949,0,0.0001982,0.0001982,0.0001982
93,95.9154,0.53446,0.15564,0.19035,0.23012,0.00635,1.2438,0.99541,1,0.995,0.80469,0.94011,0.94444,0.93153,0.90186,0.72318,0.55539,0.24045,0.20419,0.00949,0,0.0001784,0.0001784,0.0001784
94,97.3135,0.493,0.17597,0.19706,0.27005,0.00587,1.3578,0.995,1,0.995,0.80896,0.93972,0.94444,0.91889,0.88226,0.75198,0.59113,0.23903,0.21668,0.00991,0,0.0001586,0.0001586,0.0001586
95,98.1555,0.46986,0.17497,0.19002,0.24482,0.00565,1.13164,0.99485,1,0.995,0.79237,0.93958,0.94444,0.92167,0.885,0.78218,0.60573,0.23857,0.22574,0.01034,0,0.0001388,0.0001388,0.0001388
96,98.9037,0.47825,0.16831,0.18479,0.25995,0.00633,1.34616,0.99446,1,0.995,0.77353,0.93921,0.94444,0.91889,0.87886,0.82715,0.62407,0.23794,0.23222,0.01104,0,0.000119,0.000119,0.000119
97,99.8207,0.47545,0.16057,0.17841,0.18848,0.00557,1.00968,0.99417,1,0.995,0.77371,0.93894,0.94444,0.91902,0.88613,0.83814,0.62822,0.23731,0.23743,0.01116,0,9.92e-05,9.92e-05,9.92e-05
98,100.593,0.48758,0.11463,0.1799,0.19094,0.00627,0.65931,0.99381,1,0.995,0.7696,0.9386,0.94444,0.91864,0.87717,0.83653,0.61631,0.23682,0.24611,0.01099,0,7.94e-05,7.94e-05,7.94e-05
99,101.367,0.45982,0.12309,0.1728,0.17848,0.00595,0.93954,0.99351,1,0.995,0.7696,0.93831,0.94444,0.9153,0.88178,0.82604,0.60621,0.2368,0.24717,0.01083,0,5.96e-05,5.96e-05,5.96e-05
100,102.136,0.48289,0.12828,0.17487,0.18961,0.00579,0.88128,0.99321,1,0.995,0.77825,0.93803,0.94444,0.91543,0.88194,0.81413,0.58971,0.23671,0.24981,0.01056,0,3.98e-05,3.98e-05,3.98e-05
