epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
52,53.8305,1.57178,1.2174,0.30141,2.07202,0.00774,4.43283,0.26362,0.33333,0.23078,0.08881,0.32533,0.22222,0.27692,0.17608,1.62893,0.88035,0.10966,2.63319,0.01125,0,0.0009902,0.0009902,0.0009902
53,54.5614,1.58365,1.57934,0.2603,2.06495,0.00764,5.5265,0.2033,0.22222,0.19823,0.08196,0.32472,0.22222,0.25126,0.14936,1.63695,1.18799,0.11484,2.66501,0.01122,0,0.0009704,0.0009704,0.0009704
54,55.312,1.72311,1.37433,0.34283,2.13682,0.00885,5.18334,0.18611,0.22222,0.14562,0.06464,0.26603,0.22222,0.17146,0.11525,1.74724,1.24182,0.11816,2.65536,0.01162,0,0.0009506,0.0009506,0.0009506
55,56.034,1.70738,1.44432,0.29135,2.08514,0.00851,5.14456,0.19915,0.40091,0.16532,0.06924,0.21608,0.27778,0.17667,0.11577,1.52022,1.08206,0.12709,2.79251,0.01016,0,0.0009308,0.0009308,0.0009308
56,56.9265,1.63126,1.23078,0.28449,1.96376,0.00901,4.20151,0.18299,0.27778,0.17648,0.06577,0.18299,0.27778,0.15218,0.11489,1.48508,1.07547,0.13181,2.75089,0.00982,0,0.000911,0.000911,0.000911
57,57.661,1.6027,1.37502,0.31008,2.05048,0.00826,4.78233,0.21334,0.38889,0.2021,0.07157,0.17961,0.38889,0.16694,0.12553,1.60374,1.03768,0.11549,2.54578,0.01117,0,0.0008912,0.0008912,0.0008912
58,58.4096,1.77249,1.5162,0.26269,1.99095,0.00913,4.60483,0.24993,0.49983,0.20689,0.08498,0.3795,0.22222,0.26524,0.14171,1.63078,1.39697,0.13074,2.49974,0.01189,0,0.0008714,0.0008714,0.0008714
59,59.1464,1.6286,0.99606,0.30984,1.93545,0.00742,3.63434,0.22026,0.44444,0.30243,0.1071,0.36422,0.22222,0.27538,0.15018,1.67292,1.59551,0.12833,2.44304,0.01231,0,0.0008516,0.0008516,0.0008516
60,59.908,1.70276,1.16598,0.26602,2.0299,0.00834,3.88497,0.29873,0.22222,0.26238,0.09395,0.29873,0.22222,0.23976,0.12844,1.72553,1.92981,0.12478,2.43887,0.01317,0,0.0008318,0.0008318,0.0008318
61,60.6262,1.59785,1.45337,0.31754,2.04688,0.00793,4.20551,0.22424,0.38889,0.24874,0.09307,0.17899,0.33333,0.23588,0.14082,1.72146,1.81092,0.12466,2.41876,0.01358,0,0.000812,0.000812,0.000812
62,61.3865,1.69367,1.23585,0.28216,1.88387,0.0089,3.79911,0.33474,0.5,0.37543,0.11562,0.30344,0.50846,0.34478,0.21459,1.76913,1.02945,0.12345,2.36533,0.01312,0,0.0007922,0.0007922,0.0007922
63,62.1054,1.76767,0.98364,0.19971,1.73184,0.00867,3.6667,0.32405,0.61111,0.33318,0.10855,0.32916,0.62729,0.38391,0.22044,1.82225,1.03054,0.12799,2.23537,0.01375,0,0.0007724,0.0007724,0.0007724
64,63.0036,1.62495,0.81433,0.34183,1.84058,0.00825,2.90602,0.37563,0.56854,0.3472,0.13089,0.43766,0.5,0.41567,0.24119,1.70984,1.04072,0.1373,2.20174,0.01246,0,0.0007526,0.0007526,0.0007526
65,63.749,1.69929,0.9458,0.28462,1.78021,0.00882,3.19954,0.30799,0.61111,0.35708,0.13285,0.37391,0.5,0.40323,0.2384,1.75226,1.21301,0.13931,2.21956,0.01251,0,0.0007328,0.0007328,0.0007328
66,64.5143,1.62006,1.20532,0.265,1.78375,0.0079,3.45057,0.30508,0.6587,0.3336,0.13204,0.30683,0.5,0.37364,0.22351,1.83201,1.01477,0.14725,2.20236,0.01256,0,0.000713,0.000713,0.000713
67,65.2355,1.51693,1.07663,0.30957,1.81708,0.00796,3.59317,0.27859,0.5,0.33046,0.12307,0.29499,0.5,0.29914,0.19101,1.89712,1.1124,0.15007,2.26903,0.01301,0,0.0006932,0.0006932,0.0006932
68,66.0004,1.6143,1.00643,0.31758,1.75236,0.00895,3.5038,0.49876,0.27653,0.28522,0.09468,0.2466,0.38889,0.2456,0.15088,1.98817,1.34971,0.15332,2.5217,0.01423,0,0.0006734,0.0006734,0.0006734
69,66.7232,1.68068,1.13605,0.3005,1.72733,0.00788,3.94132,0.27992,0.27778,0.26082,0.0892,0.17107,0.27778,0.2442,0.14349,2.00938,1.40915,0.1582,2.62299,0.01451,0,0.0006536,0.0006536,0.0006536
70,67.4725,1.59886,0.92204,0.3181,1.76319,0.00862,3.34147,0.30642,0.27778,0.19936,0.07328,0.29077,0.22222,0.1803,0.11969,1.99615,1.58196,0.17286,2.80968,0.01462,0,0.0006338,0.0006338,0.0006338
71,68.2135,1.56375,0.73482,0.27293,1.80073,0.00784,3.18112,0.28636,0.27778,0.20156,0.08056,0.30855,0.17413,0.19978,0.13443,1.97288,1.46397,0.1731,2.80809,0.01451,0,0.000614,0.000614,0.000614
72,69.1011,1.57632,1.06163,0.33473,1.89075,0.00845,3.631,0.39686,0.33333,0.30156,0.10874,0.24603,0.33333,0.2765,0.18632,1.9232,1.34581,0.1667,2.61109,0.01467,0,0.0005942,0.0005942,0.0005942
73,69.8425,1.69572,0.88785,0.28573,1.78088,0.00845,3.1737,0.33562,0.38889,0.38132,0.12744,0.33768,0.48199,0.34523,0.22017,1.86746,1.34008,0.16102,2.50397,0.01445,0,0.0005744,0.0005744,0.0005744
74,70.6064,1.53398,1.06406,0.34405,1.7963,0.00747,3.4851,0.46021,0.52166,0.46079,0.15765,0.45597,0.44444,0.40804,0.2401,1.94055,1.19362,0.15821,2.28395,0.01357,0,0.0005546,0.0005546,0.0005546
75,71.3229,1.69131,0.86539,0.33205,1.67487,0.00852,3.25457,0.42247,0.40709,0.49834,0.16549,0.48804,0.44444,0.42884,0.23868,1.94367,1.41541,0.15441,2.21187,0.01368,0,0.0005348,0.0005348,0.0005348
76,72.0851,1.63265,0.914,0.31576,1.79432,0.00775,3.0981,0.47242,0.54756,0.51863,0.1795,0.4933,0.5,0.50174,0.26353,1.98723,1.50863,0.15222,2.1397,0.01484,0,0.000515,0.000515,0.000515
77,72.8167,1.55633,0.94289,0.27771,1.67996,0.00782,3.13332,0.48298,0.5,0.51065,0.18003,0.45243,0.55556,0.38257,0.25721,1.85871,1.58783,0.14992,2.33361,0.0145,0,0.0004952,0.0004952,0.0004952
78,73.5785,1.51691,0.71285,0.27289,1.7048,0.00758,2.95115,0.51669,0.55556,0.53256,0.18306,0.45995,0.5,0.40808,0.28433,1.85796,1.70297,0.15078,2.37934,0.01454,0,0.0004754,0.0004754,0.0004754
79,74.3167,1.52591,0.77527,0.31788,1.69283,0.00776,2.86129,0.53728,0.51672,0.5571,0.17803,0.49514,0.5453,0.53662,0.31912,1.8692,1.71148,0.15187,2.39066,0.01448,0,0.0004556,0.0004556,0.0004556
80,75.0977,1.49405,0.89157,0.33016,1.67182,0.00693,2.57743,0.51445,0.5,0.4961,0.16351,0.48985,0.53413,0.46948,0.28237,1.85478,1.74078,0.15132,2.40945,0.0139,0,0.0004358,0.0004358,0.0004358
81,75.9605,1.59262,0.8584,0.32648,1.64388,0.0081,2.95071,0.56367,0.5,0.5055,0.16008,0.56367,0.5,0.5055,0.27388,1.94767,1.74483,0.15337,2.30357,0.01405,0,0.000416,0.000416,0.000416
