epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,61.656,1.08344,0.60664,0.00152,0.83118,0.87608,0.91692,0.65057,1.11094,0.58684,0.00202,0.0005942,0.0005942,0.0005942
73,62.3292,1.0847,0.59733,0.00138,0.84613,0.86121,0.91348,0.64542,1.11615,0.57963,0.0021,0.0005744,0.0005744,0.0005744
74,62.9449,1.12176,0.61788,0.00152,0.86828,0.83986,0.91252,0.64045,1.1362,0.60662,0.00227,0.0005546,0.0005546,0.0005546
75,63.5878,1.07679,0.63224,0.00167,0.89351,0.83603,0.9141,0.65071,1.10367,0.59243,0.00211,0.0005348,0.0005348,0.0005348
76,64.2321,1.0636,0.58691,0.00148,0.85418,0.87556,0.91699,0.64935,1.13508,0.57245,0.00222,0.000515,0.000515,0.000515
77,64.8454,1.11792,0.6188,0.00147,0.87475,0.85409,0.91728,0.64381,1.14885,0.57275,0.0022,0.0004952,0.0004952,0.0004952
78,65.5086,1.06524,0.59548,0.00138,0.87676,0.86084,0.9171,0.63766,1.15522,0.57143,0.00206,0.0004754,0.0004754,0.0004754
79,66.1504,1.05684,0.58034,0.00147,0.87723,0.88256,0.917,0.62572,1.17967,0.5833,0.00214,0.0004556,0.0004556,0.0004556
80,66.7761,1.07802,0.57759,0.0014,0.87948,0.86477,0.9163,0.62418,1.20361,0.59762,0.00226,0.0004358,0.0004358,0.0004358
81,67.3765,1.03327,0.57266,0.00141,0.87629,0.86121,0.9166,0.62866,1.18559,0.59928,0.00224,0.000416,0.000416,0.000416
82,68.0045,1.07821,0.57851,0.00142,0.84854,0.87544,0.91558,0.64776,1.13183,0.6111,0.00213,0.0003962,0.0003962,0.0003962
83,68.6178,1.03391,0.5826,0.00136,0.83918,0.89137,0.91598,0.6503,1.11098,0.63167,0.00214,0.0003764,0.0003764,0.0003764
84,69.2641,1.04602,0.54652,0.00139,0.84064,0.89324,0.91636,0.6534,1.12546,0.61402,0.00226,0.0003566,0.0003566,0.0003566
85,69.8634,1.05178,0.57389,0.00135,0.85016,0.88843,0.91681,0.65081,1.12437,0.59883,0.00222,0.0003368,0.0003368,0.0003368
86,70.5216,1.03072,0.57332,0.00137,0.87588,0.879,0.91664,0.64704,1.11755,0.56343,0.0021,0.000317,0.000317,0.000317
87,71.1473,1.0718,0.54226,0.00143,0.87328,0.86833,0.91688,0.65395,1.12094,0.55468,0.0021,0.0002972,0.0002972,0.0002972
88,71.7969,1.08396,0.57928,0.00133,0.8708,0.86833,0.91641,0.65625,1.09628,0.54813,0.00206,0.0002774,0.0002774,0.0002774
89,72.4203,1.07039,0.56217,0.00133,0.86313,0.86477,0.9162,0.66397,1.08418,0.54945,0.00204,0.0002576,0.0002576,0.0002576
90,73.0885,1.05523,0.55534,0.00135,0.85746,0.87769,0.91537,0.65739,1.11035,0.55005,0.00221,0.0002378,0.0002378,0.0002378
91,76.4825,1.04715,0.67812,0.00166,0.85279,0.88256,0.91583,0.65144,1.11745,0.56557,0.00226,0.000218,0.000218,0.000218
92,77.6646,1.06803,0.69101,0.00183,0.84748,0.89324,0.91597,0.64624,1.1404,0.56371,0.00223,0.0001982,0.0001982,0.0001982
93,78.5818,0.98347,0.61474,0.0016,0.85401,0.88256,0.91667,0.63415,1.15183,0.5699,0.00212,0.0001784,0.0001784,0.0001784
94,79.546,1.05816,0.62585,0.00151,0.87001,0.88131,0.91756,0.62784,1.17183,0.59233,0.00208,0.0001586,0.0001586,0.0001586
95,80.556,1.01532,0.60678,0.00155,0.87282,0.87924,0.91794,0.62655,1.17797,0.60054,0.00212,0.0001388,0.0001388,0.0001388
96,81.5916,1.00424,0.58922,0.00159,0.86946,0.877,0.91859,0.6314,1.17643,0.60849,0.00215,0.000119,0.000119,0.000119
97,82.2912,1.01944,0.58049,0.00158,0.86729,0.88376,0.91932,0.63403,1.1617,0.60591,0.00212,9.92e-05,9.92e-05,9.92e-05
98,82.9289,1.05343,0.59961,0.00165,0.86467,0.88676,0.92036,0.64375,1.12845,0.58936,0.00202,7.94e-05,7.94e-05,7.94e-05
99,83.5646,0.98974,0.582,0.00156,0.86664,0.8788,0.92089,0.65038,1.11574,0.57743,0.00199,5.96e-05,5.96e-05,5.96e-05
100,84.1602,0.99331,0.59193,0.00154,0.86307,0.87544,0.92093,0.65411,1.10256,0.5724,0.00197,3.98e-05,3.98e-05,3.98e-05
