epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,334.612,1.04527,0.50956,0.00258,0.86422,0.90432,0.93898,0.5237,1.51624,0.69518,0.00314,0.0014126,0.0014126,0.0014126
91,338.101,1.04428,0.49097,0.00266,0.84757,0.91803,0.93601,0.47506,1.6979,0.71354,0.00344,0.001406,0.001406,0.001406
92,341.567,0.95109,0.47628,0.0023,0.85872,0.88571,0.92509,0.46924,1.72826,0.75182,0.00337,0.0013994,0.0013994,0.0013994
93,345.013,1.02032,0.48886,0.0025,0.87208,0.8725,0.91132,0.43332,1.81922,0.83184,0.00354,0.0013928,0.0013928,0.0013928
94,348.495,1.05012,0.50187,0.00257,0.81461,0.84335,0.84415,0.33976,2.08326,0.96112,0.004,0.0013862,0.0013862,0.0013862
95,351.931,1.03707,0.49874,0.00265,0.82813,0.86157,0.8855,0.32729,2.04077,0.92119,0.00398,0.0013796,0.0013796,0.0013796
96,355.439,0.97965,0.46421,0.00234,0.82379,0.84335,0.89332,0.34773,2.03671,0.91254,0.00414,0.001373,0.001373,0.001373
97,358.899,1.04736,0.53358,0.00246,0.79186,0.89435,0.90084,0.38531,1.97535,0.83521,0.0039,0.0013664,0.0013664,0.0013664
98,362.399,1.05359,0.51121,0.00243,0.83281,0.8725,0.90286,0.43528,1.84934,0.76895,0.00352,0.0013598,0.0013598,0.0013598
99,365.907,0.99278,0.4924,0.0024,0.81218,0.84282,0.85214,0.28959,2.40918,0.84741,0.00453,0.0013532,0.0013532,0.0013532
100,369.38,1.05979,0.50581,0.00243,0.81118,0.83424,0.82414,0.26642,2.43299,0.84815,0.00482,0.0013466,0.0013466,0.0013466
101,372.783,0.99962,0.48532,0.00239,0.84012,0.86145,0.87404,0.33479,2.13831,0.83364,0.00427,0.00134,0.00134,0.00134
102,376.245,0.98949,0.48748,0.00239,0.8473,0.89435,0.92097,0.37541,1.98708,0.82731,0.0038,0.0013334,0.0013334,0.0013334
103,379.714,0.98419,0.50236,0.00258,0.85562,0.90164,0.92417,0.38144,1.94168,0.84796,0.00384,0.0013268,0.0013268,0.0013268
104,383.179,1.00822,0.50024,0.00233,0.83727,0.9235,0.93407,0.42305,1.85556,0.77883,0.0036,0.0013202,0.0013202,0.0013202
105,386.584,0.99114,0.48343,0.00256,0.86971,0.9071,0.93699,0.41219,1.90749,0.78153,0.00365,0.0013136,0.0013136,0.0013136
106,390.065,0.96349,0.45817,0.00212,0.90011,0.90274,0.95096,0.44749,1.77407,0.72101,0.0035,0.001307,0.001307,0.001307
107,393.553,0.98742,0.46612,0.00222,0.87851,0.90883,0.94756,0.49532,1.60947,0.69891,0.00341,0.0013004,0.0013004,0.0013004
108,397.036,0.95256,0.46564,0.00237,0.85002,0.90843,0.92486,0.48105,1.6337,0.72085,0.00355,0.0012938,0.0012938,0.0012938
109,400.449,1.04508,0.49554,0.00279,0.83744,0.89146,0.91094,0.47925,1.64104,0.73464,0.00343,0.0012872,0.0012872,0.0012872
110,403.898,1.01886,0.46218,0.00256,0.8361,0.88707,0.89638,0.41137,1.90417,0.78426,0.00352,0.0012806,0.0012806,0.0012806
111,407.367,1.05467,0.47921,0.00244,0.83675,0.90559,0.92356,0.46107,1.68991,0.70158,0.00314,0.001274,0.001274,0.001274
112,410.819,1.05025,0.48678,0.00258,0.83556,0.94406,0.93087,0.43511,1.77805,0.72632,0.00354,0.0012674,0.0012674,0.0012674
113,414.252,1.02377,0.43212,0.00217,0.83438,0.91621,0.92658,0.45033,1.71411,0.72747,0.00361,0.0012608,0.0012608,0.0012608
114,417.693,0.99091,0.44945,0.00233,0.8566,0.87432,0.91235,0.41216,1.84754,0.78666,0.00378,0.0012542,0.0012542,0.0012542
115,421.17,0.98287,0.47269,0.00248,0.8365,0.84802,0.84333,0.29773,2.24762,0.90641,0.00436,0.0012476,0.0012476,0.0012476
